inventory_balance_id,snapshot_date,product_id,site_id,quantity_mt,quantity_allocated_mt,quantity_available_mt,inventory_value,days_of_supply,reorder_point_mt,safety_stock_mt,storage_cost_daily,inventory_age_days,quality_status
24,2026-01-21,BUT-001,SITE-NEA-02,641.1,180.9,460.2,769320.0,15.9,405.8,202.9,320.55,86,RELEASED
25,2026-01-21,HDPE-001,SITE-USG-01,1133.7,282.2,851.5,1473810.0,33.9,351.2,175.6,566.85,80,RELEASED
26,2026-01-21,HDPE-001,SITE-USG-02,1853.1,309.2,1543.9,2409030.0,44.3,487.6,243.8,926.55,26,RELEASED
27,2026-01-21,HDPE-001,SITE-NWE-01,1592.1,349.9,1242.2,2069730.0,27.6,630.1,315.1,796.05,51,RELEASED
28,2026-01-21,HDPE-001,SITE-NWE-02,785.8,113.1,672.7,1021540.0,14.8,635.1,317.5,392.9,7,RELEASED
29,2026-01-21,HDPE-001,SITE-NEA-01,1660.3,410.5,1249.8,2158390.0,51.6,339.2,169.6,830.15,44,RELEASED
30,2026-01-21,HDPE-001,SITE-NEA-02,1754.8,197.3,1557.5,2281240.0,33.8,645.8,322.9,877.4,26,RELEASED
31,2026-01-21,LDPE-001,SITE-USG-01,1329.4,180.3,1149.1,1794690.0,108.6,148.2,74.1,664.7,46,RELEASED
32,2026-01-21,LDPE-001,SITE-USG-02,1552.6,480.5,1072.1,2096010.0,28.4,529.2,264.6,776.3,78,QC_HOLD
33,2026-01-21,LDPE-001,SITE-NWE-01,1336.2,277.2,1059.0,1803870.0,37.4,396.3,198.2,668.1,36,RELEASED
34,2026-01-21,LDPE-001,SITE-NWE-02,1165.6,373.2,792.4,1573560.0,18.6,595.4,297.7,582.8,82,RELEASED
35,2026-01-21,LDPE-001,SITE-NEA-01,1799.7,250.9,1548.8,2429595.0,90.6,239.4,119.7,899.85,49,RELEASED
36,2026-01-21,LDPE-001,SITE-NEA-02,393.5,77.0,316.5,531225.0,14.4,307.3,153.6,196.75,59,RELEASED
37,2026-01-21,LLDPE-001,SITE-USG-01,110.7,42.1,68.6,141696.0,1.8,548.1,274.1,55.35,24,RELEASED
38,2026-01-21,LLDPE-001,SITE-USG-02,1165.5,272.0,893.5,1491840.0,20.3,616.2,308.1,582.75,43,RELEASED
39,2026-01-21,LLDPE-001,SITE-NWE-01,222.2,37.3,184.9,284416.0,4.8,542.3,271.1,111.1,13,RELEASED
40,2026-01-21,LLDPE-001,SITE-NWE-02,1017.0,169.5,847.5,1301760.0,21.5,551.8,275.9,508.5,54,RELEASED
41,2026-01-21,LLDPE-001,SITE-NEA-01,1661.3,628.1,1033.2,2126464.0,25.0,578.0,289.0,830.65,33,RELEASED
42,2026-01-21,LLDPE-001,SITE-NEA-02,1232.9,142.5,1090.4,1578112.0,31.7,481.1,240.5,616.45,54,RELEASED
43,2026-01-21,PP-HOMO,SITE-USG-01,1549.3,268.9,1280.4,2169020.0,59.9,299.2,149.6,774.65,79,QC_HOLD
44,2026-01-21,PP-HOMO,SITE-USG-02,1607.2,597.1,1010.1,2250080.0,21.3,663.8,331.9,803.6,37,RELEASED
45,2026-01-21,PP-HOMO,SITE-NWE-01,690.2,169.1,521.1,966280.0,28.4,257.2,128.6,345.1,70,QC_HOLD
46,2026-01-21,PP-HOMO,SITE-NWE-02,1252.7,398.2,854.5,1753780.0,18.2,656.7,328.3,626.35,23,QC_HOLD
47,2026-01-21,PP-HOMO,SITE-NEA-01,1015.1,177.9,837.2,1421140.0,55.1,212.9,106.4,507.55,32,RELEASED
48,2026-01-21,PP-HOMO,SITE-NEA-02,263.2,48.7,214.5,368480.0,13.9,215.7,107.8,131.6,26,RELEASED
49,2026-01-21,PP-COPOLY,SITE-USG-01,836.8,328.0,508.8,1213360.0,11.1,644.4,322.2,418.4,84,RELEASED
50,2026-01-21,PP-COPOLY,SITE-USG-02,1165.3,250.4,914.9,1689685.0,38.9,329.2,164.6,582.65,19,RELEASED
51,2026-01-21,PP-COPOLY,SITE-NWE-01,1426.0,509.3,916.7,2067700.0,31.5,407.9,204.0,713.0,46,RELEASED
52,2026-01-21,PP-COPOLY,SITE-NWE-02,1212.6,251.2,961.4,1758270.0,20.3,663.2,331.6,606.3,37,RELEASED
53,2026-01-21,PP-COPOLY,SITE-NEA-01,1702.6,625.9,1076.7,2468770.0,23.9,631.5,315.7,851.3,68,QC_HOLD
54,2026-01-21,PP-COPOLY,SITE-NEA-02,1641.7,397.8,1243.9,2380465.0,28.7,606.0,303.0,820.85,28,RELEASED
55,2026-01-21,PS-001,SITE-USG-01,632.7,155.6,477.1,790875.0,18.9,353.5,176.7,316.35,67,QC_HOLD
56,2026-01-21,PS-001,SITE-USG-02,1168.2,267.5,900.7,1460250.0,21.6,582.9,291.4,584.1,46,RELEASED
57,2026-01-21,PS-001,SITE-NWE-01,847.0,178.8,668.2,1058750.0,22.8,410.3,205.2,423.5,62,QC_HOLD
58,2026-01-21,PS-001,SITE-NWE-02,124.3,25.0,99.3,155375.0,2.1,650.5,325.3,62.15,76,RELEASED
59,2026-01-21,PS-001,SITE-NEA-01,1278.7,375.2,903.5,1598375.0,52.4,241.4,120.7,639.35,7,RELEASED
60,2026-01-21,PS-001,SITE-NEA-02,1316.2,132.7,1183.5,1645250.0,52.6,315.0,157.5,658.1,52,RELEASED
61,2026-01-21,PVC-001,SITE-USG-01,752.8,170.4,582.4,828080.0,16.6,489.7,244.9,376.4,52,QC_HOLD
62,2026-01-21,PVC-001,SITE-USG-02,1319.6,144.5,1175.1,1451560.0,84.4,195.0,97.5,659.8,44,RELEASED
63,2026-01-21,PVC-001,SITE-NWE-01,728.9,87.8,641.1,801790.0,17.1,526.2,263.1,364.45,26,QC_HOLD
64,2026-01-21,PVC-001,SITE-NWE-02,921.5,268.7,652.8,1013650.0,14.0,653.4,326.7,460.75,66,QC_HOLD
65,2026-01-21,PVC-001,SITE-NEA-01,426.3,118.4,307.9,468930.0,21.3,202.7,101.3,213.15,45,QC_HOLD
66,2026-01-21,PVC-001,SITE-NEA-02,724.6,267.8,456.8,797060.0,31.2,205.2,102.6,362.3,71,RELEASED
67,2026-01-21,BEN-001,SITE-USG-01,802.5,192.3,610.2,722250.0,55.8,153.0,76.5,401.25,46,RELEASED
68,2026-01-21,BEN-001,SITE-USG-02,1468.0,550.5,917.5,1321200.0,20.8,618.1,309.1,734.0,49,QC_HOLD
69,2026-01-21,BEN-001,SITE-NWE-01,1656.5,558.2,1098.3,1490850.0,40.7,377.8,188.9,828.25,66,RELEASED
70,2026-01-21,BEN-001,SITE-NWE-02,1811.5,380.5,1431.0,1630350.0,37.0,541.5,270.7,905.75,60,RELEASED
71,2026-01-21,BEN-001,SITE-NEA-01,1288.9,200.9,1088.0,1160010.0,34.8,438.2,219.1,644.45,69,RELEASED
72,2026-01-21,BEN-001,SITE-NEA-02,1052.3,269.8,782.5,947070.0,48.9,223.9,112.0,526.15,32,RELEASED
73,2026-01-21,TOL-001,SITE-USG-01,142.0,46.9,95.1,120700.0,2.0,650.9,325.5,71.0,24,RELEASED
74,2026-01-21,TOL-001,SITE-USG-02,1437.1,438.8,998.3,1221535.0,27.3,512.5,256.2,718.55,58,QC_HOLD
75,2026-01-21,TOL-001,SITE-NWE-01,411.3,58.7,352.6,349605.0,20.9,236.6,118.3,205.65,19,RELEASED
76,2026-01-21,TOL-001,SITE-NWE-02,211.8,33.6,178.2,180030.0,4.2,587.6,293.8,105.9,43,RELEASED
77,2026-01-21,TOL-001,SITE-NEA-01,575.9,109.8,466.1,489515.0,22.6,289.2,144.6,287.95,51,QC_HOLD
78,2026-01-21,TOL-001,SITE-NEA-02,1240.3,197.7,1042.6,1054255.0,27.0,540.0,270.0,620.15,71,RELEASED
79,2026-01-21,XYL-001,SITE-USG-01,1007.4,102.7,904.7,886512.0,64.0,198.0,99.0,503.7,73,RELEASED
80,2026-01-21,XYL-001,SITE-USG-02,315.2,40.8,274.4,277376.0,23.7,161.9,81.0,157.6,54,RELEASED
81,2026-01-21,XYL-001,SITE-NWE-01,1502.3,353.7,1148.6,1322024.0,57.3,280.8,140.4,751.15,50,RELEASED
82,2026-01-21,XYL-001,SITE-NWE-02,1426.5,369.7,1056.8,1255320.0,29.2,506.2,253.1,713.25,23,QC_HOLD
83,2026-01-21,XYL-001,SITE-NEA-01,546.9,159.2,387.7,481272.0,8.1,673.0,336.5,273.45,49,RELEASED
84,2026-01-21,XYL-001,SITE-NEA-02,600.4,143.2,457.2,528352.0,25.2,253.8,126.9,300.2,5,QC_HOLD
85,2026-01-21,STY-001,SITE-USG-01,1261.6,297.6,964.0,1450840.0,26.2,515.2,257.6,630.8,37,RELEASED
86,2026-01-21,STY-001,SITE-USG-02,1534.4,188.7,1345.7,1764560.0,55.9,337.2,168.6,767.2,15,RELEASED
87,2026-01-21,STY-001,SITE-NWE-01,1924.1,332.1,1592.0,2212715.0,42.4,525.8,262.9,962.05,11,QC_HOLD
88,2026-01-21,STY-001,SITE-NWE-02,466.0,162.2,303.8,535900.0,10.5,405.7,202.9,233.0,38,RELEASED
89,2026-01-21,STY-001,SITE-NEA-01,338.0,122.6,215.4,388700.0,17.1,176.3,88.1,169.0,34,QC_HOLD
90,2026-01-21,STY-001,SITE-NEA-02,1141.4,407.3,734.1,1312610.0,25.2,408.1,204.0,570.7,17,RELEASED
91,2026-01-21,MEG-001,SITE-USG-01,715.0,195.4,519.6,536250.0,11.8,614.0,307.0,357.5,82,RELEASED
92,2026-01-21,MEG-001,SITE-USG-02,406.7,131.2,275.5,305025.0,17.8,217.0,108.5,203.35,31,RELEASED
93,2026-01-21,MEG-001,SITE-NWE-01,1531.2,534.1,997.1,1148400.0,26.0,536.2,268.1,765.6,84,RELEASED
94,2026-01-21,MEG-001,SITE-NWE-02,951.6,225.7,725.9,713700.0,24.5,414.4,207.2,475.8,38,RELEASED
95,2026-01-21,MEG-001,SITE-NEA-01,307.2,76.2,231.0,230400.0,11.7,277.0,138.5,153.6,33,RELEASED
96,2026-01-21,MEG-001,SITE-NEA-02,888.0,145.2,742.8,666000.0,52.4,198.4,99.2,444.0,28,QC_HOLD
97,2026-01-21,DEG-001,SITE-USG-01,1297.9,177.1,1120.8,1038320.0,56.4,278.2,139.1,648.95,29,RELEASED
98,2026-01-21,DEG-001,SITE-USG-02,1021.2,205.2,816.0,816960.0,43.1,264.8,132.4,510.6,78,QC_HOLD
99,2026-01-21,DEG-001,SITE-NWE-01,1796.7,555.0,1241.7,1437360.0,31.8,545.8,272.9,898.35,22,RELEASED
100,2026-01-21,DEG-001,SITE-NWE-02,363.4,67.1,296.3,290720.0,6.7,623.4,311.7,181.7,46,QC_HOLD
101,2026-01-21,DEG-001,SITE-NEA-01,1574.4,180.1,1394.3,1259520.0,38.6,506.3,253.2,787.2,16,RELEASED
102,2026-01-21,DEG-001,SITE-NEA-02,1430.9,274.8,1156.1,1144720.0,42.4,381.9,190.9,715.45,64,RELEASED
103,2026-01-21,ACN-001,SITE-USG-01,286.9,29.4,257.5,401660.0,16.9,213.0,106.5,143.45,21,QC_HOLD
104,2026-01-21,ACN-001,SITE-USG-02,1375.8,176.1,1199.7,1926120.0,102.1,164.5,82.3,687.9,57,RELEASED
105,2026-01-21,ACN-001,SITE-NWE-01,718.3,147.7,570.6,1005620.0,15.8,504.4,252.2,359.15,24,RELEASED
106,2026-01-21,ACN-001,SITE-NWE-02,919.6,227.9,691.7,1287440.0,42.5,228.1,114.0,459.8,47,RELEASED
107,2026-01-21,ACN-001,SITE-NEA-01,1655.5,219.7,1435.8,2317700.0,38.4,523.1,261.5,827.75,21,RELEASED
108,2026-01-21,ACN-001,SITE-NEA-02,653.9,155.2,498.7,915460.0,14.0,499.1,249.6,326.95,87,QC_HOLD
109,2026-01-21,MMA-001,SITE-USG-01,1782.9,181.1,1601.8,2852640.0,93.1,240.8,120.4,891.45,19,RELEASED
110,2026-01-21,MMA-001,SITE-USG-02,1338.5,502.2,836.3,2141600.0,19.3,607.5,303.7,669.25,81,RELEASED
111,2026-01-21,MMA-001,SITE-NWE-01,1384.6,299.4,1085.2,2215360.0,59.0,257.7,128.8,692.3,45,RELEASED
112,2026-01-21,MMA-001,SITE-NWE-02,288.9,110.2,178.7,462240.0,5.3,469.2,234.6,144.45,34,RELEASED
113,2026-01-21,MMA-001,SITE-NEA-01,914.2,167.8,746.4,1462720.0,21.0,497.7,248.8,457.1,33,RELEASED
114,2026-01-21,MMA-001,SITE-NEA-02,164.4,63.2,101.2,263040.0,6.6,213.1,106.5,82.2,88,QC_HOLD
