order_id,order_line_id,order_date,ship_date,customer_id,customer_name,product_id,product_name,quantity_mt,unit_price,total_amount,currency,sales_region,sales_channel,customer_segment,contract_id,discount_pct,rebate_amount,freight_cost,ship_from_site,ship_to_location,incoterms,net_revenue,week_start
ORD-00000011,1,2025-01-21,2025-02-02,CUST-00090,Industrial Manufacturing,PP-COPOLY,Polypropylene Copolymer,33.1,1714.9,56763.19,USD,Middle East,Contract,Construction,CTR-00090,0,110.94,148.95,SITE-NWE-01,Middle East Distribution,DAP,56614.24,2025-01-20
ORD-00000012,1,2025-01-21,2025-01-25,CUST-00067,National Partners,ACN-001,Acrylonitrile,104.7,1637.97,171495.46,USD,Latin America,Distributor,Consumer,CTR-00067,1,1724.45,628.2,SITE-USG-02,Latin America Distribution,DDP,169152.31,2025-01-20
ORD-00000013,1,2025-01-21,2025-01-26,CUST-00011,Atlantic Group,ETH-001,Ethylene,10.7,1074.12,11493.08,USD,Europe,Spot,Automotive,CTR-00011,0,100.22,42.8,SITE-NWE-02,Europe Distribution,DAP,11450.28,2025-01-20
ORD-00000014,1,2025-01-21,2025-02-03,CUST-00107,Industrial Holdings,XYL-001,Mixed Xylenes,3.5,1018.69,3565.42,USD,Latin America,Direct,Consumer,CTR-00107,1,38.21,21.0,SITE-USG-02,Latin America Distribution,DDP,3508.77,2025-01-20
ORD-00000015,1,2025-01-21,2025-01-28,CUST-00103,National LLC,PP-HOMO,Polypropylene Homopolymer,0.3,1652.73,495.82,USD,Europe,Direct,Automotive,,0,5.69,1.2,SITE-NWE-01,Europe Distribution,CIF,494.62,2025-01-20
ORD-00000016,1,2025-01-21,2025-02-02,CUST-00073,United LLC,BUT-001,Butadiene,361.5,1362.73,492626.9,USD,North America,Direct,Agricultural,CTR-00073,3,5696.67,903.75,SITE-USG-01,North America Distribution,DDP,476944.34,2025-01-20
ORD-00000017,1,2025-01-21,2025-01-28,CUST-00200,Pacific Holdings,PP-HOMO,Polypropylene Homopolymer,172.3,1540.75,265471.23,USD,Asia Pacific,Direct,Consumer,CTR-00200,5,2819.64,861.5,SITE-NEA-02,Asia Pacific Distribution,DAP,251336.17,2025-01-20
ORD-00000018,1,2025-01-21,2025-01-27,CUST-00105,National Group,PVC-001,PVC Suspension Grade,3.7,1269.09,4695.63,USD,Middle East,Spot,Consumer,CTR-00105,0,61.19,16.65,SITE-NWE-01,Middle East Distribution,DDP,4678.98,2025-01-20
ORD-00000019,1,2025-01-21,2025-02-01,CUST-00016,Global Manufacturing,HDPE-001,HDPE Film Grade,30.9,1303.49,40277.84,USD,Middle East,Spot,Consumer,CTR-00016,1,434.96,139.05,SITE-USG-02,Middle East Distribution,CIF,39736.01,2025-01-20
ORD-00000020,1,2025-01-21,2025-01-30,CUST-00168,Global Partners,ACN-001,Acrylonitrile,23.9,1622.14,38769.15,USD,Asia Pacific,Contract,Agricultural,,1,399.61,119.5,SITE-NEA-02,Asia Pacific Distribution,CIF,38261.96,2025-01-20
ORD-00000021,1,2025-01-21,2025-01-24,CUST-00083,United Group,PVC-001,PVC Suspension Grade,48.2,1309.09,63098.14,USD,Latin America,Distributor,Construction,CTR-00083,1,268.74,289.2,SITE-USG-01,Latin America Distribution,DAP,62177.96,2025-01-20
ORD-00000022,1,2025-01-21,2025-01-28,CUST-00178,National LLC,MMA-001,Methyl Methacrylate,87.6,1759.58,154139.21,USD,Latin America,Contract,Industrial,CTR-00178,1,2240.0,525.6,SITE-NWE-01,Latin America Distribution,FOB,152072.22,2025-01-20
ORD-00000023,1,2025-01-21,2025-02-01,CUST-00150,Pacific Manufacturing,HDPE-001,HDPE Film Grade,44.8,1394.03,62452.54,USD,Latin America,Distributor,Construction,CTR-00150,0,184.54,268.8,SITE-NWE-01,Latin America Distribution,CIF,62183.74,2025-01-20
ORD-00000024,1,2025-01-21,2025-02-04,CUST-00175,Atlantic Corp,BEN-001,Benzene,8.9,1019.67,9075.06,USD,Asia Pacific,Spot,Agricultural,CTR-00175,0,74.46,44.5,SITE-NEA-01,Asia Pacific Distribution,FOB,9030.56,2025-01-20
ORD-00000025,1,2025-01-21,2025-02-03,CUST-00043,Industrial Manufacturing,MMA-001,Methyl Methacrylate,303.4,1715.7,520543.38,USD,Europe,Distributor,Industrial,CTR-00043,5,2779.02,1213.6,SITE-NWE-01,Europe Distribution,DDP,493302.61,2025-01-20
ORD-00000026,1,2025-01-21,2025-02-03,CUST-00194,Industrial Partners,PS-001,Polystyrene GPPS,96.8,1546.25,149677.0,USD,Latin America,Distributor,Consumer,,1,1799.81,580.8,SITE-NWE-01,Latin America Distribution,DAP,147599.43,2025-01-20
ORD-00000027,1,2025-01-21,2025-01-27,CUST-00126,Global LLC,XYL-001,Mixed Xylenes,19.0,1024.22,19460.18,USD,Europe,Direct,Industrial,,0,10.78,76.0,SITE-NWE-01,Europe Distribution,DDP,19384.18,2025-01-20
ORD-00000028,1,2025-01-21,2025-01-31,CUST-00059,Pacific Industries,BUT-001,Butadiene,83.7,1536.79,128629.32,USD,North America,Contract,Agricultural,CTR-00059,3,1121.99,209.25,SITE-USG-02,North America Distribution,FOB,124561.19,2025-01-20
ORD-00000029,1,2025-01-21,2025-01-27,CUST-00091,Industrial Partners,MMA-001,Methyl Methacrylate,0.9,1760.69,1584.62,USD,Latin America,Distributor,Agricultural,,1,0.92,5.4,SITE-NEA-01,Latin America Distribution,DDP,1563.37,2025-01-20
ORD-00000030,1,2025-01-21,2025-02-03,CUST-00025,Industrial Group,BEN-001,Benzene,66.0,1109.95,73256.7,USD,Europe,Distributor,Agricultural,CTR-00025,3,61.88,264.0,SITE-NWE-02,Europe Distribution,DAP,70795.0,2025-01-20
ORD-00000031,1,2025-01-21,2025-01-24,CUST-00104,Atlantic Group,HDPE-001,HDPE Film Grade,10.5,1424.9,14961.45,USD,Latin America,Direct,Consumer,CTR-00104,1,25.11,63.0,SITE-NEA-01,Latin America Distribution,DDP,14748.84,2025-01-20
ORD-00000032,1,2025-01-21,2025-01-25,CUST-00020,Pacific Corp,ACN-001,Acrylonitrile,0.2,1667.38,333.48,USD,Asia Pacific,Contract,Consumer,CTR-00020,0,4.48,1.0,SITE-NEA-01,Asia Pacific Distribution,FOB,332.48,2025-01-20
ORD-00000033,1,2025-01-21,2025-01-30,CUST-00074,Advanced Holdings,PP-001,Propylene Polymer Grade,8.3,1236.28,10261.12,USD,Latin America,Distributor,Construction,,1,117.18,49.8,SITE-NEA-02,Latin America Distribution,FOB,10108.71,2025-01-20
ORD-00000034,1,2025-01-21,2025-02-01,CUST-00011,Atlantic Group,HDPE-001,HDPE Film Grade,0.7,1474.71,1032.3,USD,Europe,Spot,Automotive,CTR-00011,0,1.86,2.8,SITE-NWE-02,Europe Distribution,FOB,1029.5,2025-01-20
ORD-00000035,1,2025-01-21,2025-01-29,CUST-00092,Global Manufacturing,MMA-001,Methyl Methacrylate,33.5,1859.19,62282.87,USD,Latin America,Spot,Agricultural,CTR-00092,0,918.34,201.0,SITE-USG-02,Latin America Distribution,CIF,62081.87,2025-01-20
ORD-00000036,1,2025-01-21,2025-01-30,CUST-00053,Advanced Corp,BUT-001,Butadiene,2.8,1318.54,3691.91,USD,Asia Pacific,Distributor,Agricultural,,0,12.93,14.0,SITE-NEA-01,Asia Pacific Distribution,DDP,3677.91,2025-01-20
ORD-00000037,1,2025-01-21,2025-01-31,CUST-00009,Pacific Industries,PP-001,Propylene Polymer Grade,44.6,1255.87,56011.8,USD,North America,Contract,Automotive,,0,660.36,111.5,SITE-USG-02,North America Distribution,DAP,55900.3,2025-01-20
ORD-00000038,1,2025-01-21,2025-02-01,CUST-00078,Atlantic LLC,BEN-001,Benzene,1122.7,1178.02,1322563.05,USD,Europe,Spot,Agricultural,CTR-00078,5,2987.97,4490.8,SITE-NWE-02,Europe Distribution,DAP,1251944.1,2025-01-20
ORD-00000039,1,2025-01-21,2025-01-31,CUST-00136,Atlantic Group,BUT-001,Butadiene,73.6,1461.02,107531.07,USD,Middle East,Distributor,Automotive,CTR-00136,1,1891.33,331.2,SITE-NWE-02,Middle East Distribution,CIF,106124.56,2025-01-20
ORD-00000040,1,2025-01-21,2025-01-29,CUST-00137,National Industries,ACN-001,Acrylonitrile,87.6,1635.93,143307.47,USD,Latin America,Contract,Construction,CTR-00137,1,2354.16,525.6,SITE-NEA-02,Latin America Distribution,FOB,141348.8,2025-01-20
ORD-00000041,1,2025-01-21,2025-02-03,CUST-00019,Pacific Manufacturing,DEG-001,Diethylene Glycol,46.0,843.14,38784.44,USD,North America,Direct,Industrial,CTR-00019,1,513.68,115.0,SITE-USG-02,North America Distribution,FOB,38281.6,2025-01-20
ORD-00000042,1,2025-01-21,2025-02-04,CUST-00094,National Chemicals,PP-001,Propylene Polymer Grade,38.8,1251.87,48572.56,USD,Latin America,Distributor,Construction,,0,373.71,232.8,SITE-NWE-01,Latin America Distribution,DDP,48339.76,2025-01-20
ORD-00000043,1,2025-01-21,2025-02-03,CUST-00001,Advanced Corp,TOL-001,Toluene,233.1,954.13,222407.7,USD,Latin America,Direct,Construction,CTR-00001,3,1051.46,1398.6,SITE-NEA-01,Latin America Distribution,DAP,214336.87,2025-01-20
ORD-00000044,1,2025-01-21,2025-01-30,CUST-00019,Pacific Manufacturing,ETH-001,Ethylene,34.6,1010.63,34967.8,USD,North America,Direct,Industrial,CTR-00019,1,274.83,86.5,SITE-USG-02,North America Distribution,DDP,34531.62,2025-01-20
ORD-00000045,1,2025-01-21,2025-01-28,CUST-00120,Atlantic Manufacturing,PS-001,Polystyrene GPPS,12.0,1454.3,17451.6,USD,North America,Direct,Automotive,CTR-00120,0,264.1,30.0,SITE-USG-02,North America Distribution,DDP,17421.6,2025-01-20
ORD-00000046,1,2025-01-22,2025-01-28,CUST-00070,Premier LLC,DEG-001,Diethylene Glycol,33.6,911.59,30629.42,USD,Asia Pacific,Distributor,Consumer,CTR-00070,1,386.76,168.0,SITE-NEA-01,Asia Pacific Distribution,DAP,30155.13,2025-01-20
ORD-00000047,1,2025-01-22,2025-01-25,CUST-00089,Pacific Industries,ACN-001,Acrylonitrile,57.2,1554.88,88939.14,USD,Europe,Spot,Agricultural,CTR-00089,0,1464.29,228.8,SITE-NWE-02,Europe Distribution,DAP,88710.34,2025-01-20
ORD-00000048,1,2025-01-22,2025-02-01,CUST-00064,National Manufacturing,MEG-001,Monoethylene Glycol,364.7,868.79,316847.71,USD,Middle East,Contract,Consumer,CTR-00064,3,2108.45,1641.15,SITE-NEA-01,Middle East Distribution,DAP,305701.13,2025-01-20
ORD-00000049,1,2025-01-22,2025-01-26,CUST-00200,Pacific Holdings,ACN-001,Acrylonitrile,10.6,1687.87,17891.42,USD,Asia Pacific,Distributor,Consumer,CTR-00200,5,181.18,53.0,SITE-NEA-02,Asia Pacific Distribution,DDP,16943.85,2025-01-20
ORD-00000050,1,2025-01-22,2025-01-31,CUST-00062,Pacific Chemicals,MMA-001,Methyl Methacrylate,2.3,1744.43,4012.19,USD,Middle East,Spot,Construction,CTR-00062,0,2.19,10.35,SITE-USG-01,Middle East Distribution,FOB,4001.84,2025-01-20
ORD-00000051,1,2025-01-22,2025-02-04,CUST-00090,Industrial Manufacturing,XYL-001,Mixed Xylenes,7.7,1124.75,8660.58,USD,Middle East,Distributor,Construction,CTR-00090,0,137.01,34.65,SITE-USG-02,Middle East Distribution,CIF,8625.93,2025-01-20
ORD-00000052,1,2025-01-22,2025-01-25,CUST-00086,Advanced Partners,TOL-001,Toluene,199.0,1003.88,199772.12,USD,Middle East,Contract,Industrial,,3,1220.8,895.5,SITE-NWE-01,Middle East Distribution,FOB,192883.46,2025-01-20
ORD-00000053,1,2025-01-22,2025-01-26,CUST-00065,Premier Manufacturing,PP-HOMO,Polypropylene Homopolymer,25.2,1553.64,39151.73,USD,North America,Distributor,Agricultural,,1,558.75,63.0,SITE-USG-02,North America Distribution,CIF,38697.21,2025-01-20
ORD-00000054,1,2025-01-22,2025-02-03,CUST-00072,Industrial Partners,MEG-001,Monoethylene Glycol,94.8,811.11,76893.23,USD,Latin America,Contract,Construction,CTR-00072,0,491.19,568.8,SITE-NWE-02,Latin America Distribution,DAP,76324.43,2025-01-20
ORD-00000055,1,2025-01-22,2025-02-05,CUST-00182,Premier Manufacturing,PP-HOMO,Polypropylene Homopolymer,20.2,1514.13,30585.43,USD,Europe,Distributor,Industrial,,1,420.53,80.8,SITE-NWE-02,Europe Distribution,DDP,30198.78,2025-01-20
ORD-00000056,1,2025-01-22,2025-01-29,CUST-00180,Pacific Group,BEN-001,Benzene,1.7,1106.32,1880.74,USD,Asia Pacific,Distributor,Industrial,,0,13.83,8.5,SITE-NEA-02,Asia Pacific Distribution,DAP,1872.24,2025-01-20
ORD-00000057,1,2025-01-22,2025-01-31,CUST-00198,United Partners,PP-COPOLY,Polypropylene Copolymer,1495.5,1620.43,2423353.06,USD,Europe,Distributor,Automotive,,5,1113.29,5982.0,SITE-NWE-02,Europe Distribution,CIF,2296203.41,2025-01-20
ORD-00000058,1,2025-01-22,2025-01-26,CUST-00152,Premier Group,PP-002,Propylene Chemical Grade,15.8,1315.53,20785.37,USD,Latin America,Contract,Automotive,,0,291.52,94.8,SITE-NWE-01,Latin America Distribution,CIF,20690.57,2025-01-20
ORD-00000059,1,2025-01-22,2025-01-25,CUST-00090,Industrial Manufacturing,PP-002,Propylene Chemical Grade,2.6,1211.54,3150.0,USD,Middle East,Contract,Construction,CTR-00090,0,37.82,11.7,SITE-NEA-02,Middle East Distribution,CIF,3138.3,2025-01-20
ORD-00000060,1,2025-01-22,2025-01-26,CUST-00090,Industrial Manufacturing,PP-002,Propylene Chemical Grade,78.9,1201.16,94771.52,USD,Middle East,Spot,Construction,,0,1075.17,355.05,SITE-USG-01,Middle East Distribution,FOB,94416.47,2025-01-20
ORD-00000061,1,2025-01-22,2025-02-05,CUST-00160,Atlantic Chemicals,STY-001,Styrene Monomer,48.7,1251.95,60969.96,USD,Asia Pacific,Contract,Agricultural,CTR-00160,1,1131.95,243.5,SITE-NEA-02,Asia Pacific Distribution,DAP,60116.76,2025-01-20
ORD-00000062,1,2025-01-22,2025-01-26,CUST-00042,United LLC,LLDPE-001,LLDPE C4,452.6,1488.28,673595.53,USD,Middle East,Distributor,Agricultural,CTR-00042,5,2566.99,2036.7,SITE-NEA-02,Middle East Distribution,DDP,637879.05,2025-01-20
ORD-00000063,1,2025-01-22,2025-01-29,CUST-00197,Atlantic LLC,MEG-001,Monoethylene Glycol,70.3,838.06,58915.62,USD,North America,Contract,Agricultural,CTR-00197,5,508.22,175.75,SITE-USG-01,North America Distribution,CIF,55794.09,2025-01-20
ORD-00000064,1,2025-01-22,2025-02-03,CUST-00051,Premier Partners,ACN-001,Acrylonitrile,71.7,1823.2,130723.44,USD,Europe,Distributor,Industrial,CTR-00051,1,739.81,286.8,SITE-NWE-02,Europe Distribution,CIF,129129.41,2025-01-20
ORD-00000065,1,2025-01-22,2025-01-31,CUST-00051,Premier Partners,STY-001,Styrene Monomer,93.3,1386.77,129385.64,USD,Europe,Distributor,Industrial,CTR-00051,1,377.66,373.2,SITE-NWE-01,Europe Distribution,DDP,127718.58,2025-01-20
ORD-00000066,1,2025-01-22,2025-01-29,CUST-00092,Global Manufacturing,LDPE-001,LDPE Injection Grade,32.1,1671.27,53647.77,USD,Latin America,Distributor,Agricultural,CTR-00092,0,973.52,192.6,SITE-USG-01,Latin America Distribution,DDP,53455.17,2025-01-20
ORD-00000067,1,2025-01-22,2025-02-03,CUST-00136,Atlantic Group,PVC-001,PVC Suspension Grade,39.1,1210.39,47326.25,USD,Middle East,Contract,Automotive,,1,443.81,175.95,SITE-USG-02,Middle East Distribution,DDP,46677.04,2025-01-20
ORD-00000068,1,2025-01-22,2025-02-05,CUST-00035,Pacific Group,XYL-001,Mixed Xylenes,38.3,977.27,37429.44,USD,Asia Pacific,Contract,Agricultural,CTR-00035,1,534.0,191.5,SITE-NEA-01,Asia Pacific Distribution,DAP,36863.65,2025-01-20
ORD-00000069,1,2025-01-22,2025-02-05,CUST-00050,Atlantic Corp,ACN-001,Acrylonitrile,71.3,1647.36,117456.77,USD,Asia Pacific,Spot,Construction,,5,1308.47,356.5,SITE-NEA-02,Asia Pacific Distribution,FOB,111227.43,2025-01-20
ORD-00000070,1,2025-01-22,2025-01-30,CUST-00145,Pacific Partners,BUT-001,Butadiene,321.2,1433.26,460363.11,USD,Latin America,Distributor,Construction,CTR-00145,3,3262.15,1927.2,SITE-NEA-02,Latin America Distribution,FOB,444625.02,2025-01-20
ORD-00000071,1,2025-01-22,2025-01-25,CUST-00070,Premier LLC,DEG-001,Diethylene Glycol,18.3,992.82,18168.61,USD,Asia Pacific,Spot,Consumer,CTR-00070,1,138.42,91.5,SITE-NEA-02,Asia Pacific Distribution,DAP,17895.42,2025-01-20
ORD-00000072,1,2025-01-22,2025-02-04,CUST-00164,Advanced Partners,ACN-001,Acrylonitrile,55.1,1636.39,90165.09,USD,North America,Spot,Industrial,,3,1608.95,137.75,SITE-USG-02,North America Distribution,FOB,87322.39,2025-01-20
ORD-00000073,1,2025-01-22,2025-02-03,CUST-00188,Pacific Group,XYL-001,Mixed Xylenes,30.5,1003.77,30614.98,USD,Asia Pacific,Distributor,Consumer,,0,308.44,152.5,SITE-NEA-01,Asia Pacific Distribution,DDP,30462.48,2025-01-20
ORD-00000074,1,2025-01-22,2025-02-01,CUST-00010,United Chemicals,STY-001,Styrene Monomer,23.6,1229.1,29006.76,USD,North America,Distributor,Industrial,,0,412.04,59.0,SITE-USG-01,North America Distribution,DAP,28947.76,2025-01-20
ORD-00000075,1,2025-01-22,2025-01-27,CUST-00112,Atlantic Manufacturing,PP-COPOLY,Polypropylene Copolymer,37.6,1721.73,64737.05,USD,North America,Spot,Consumer,,1,57.18,94.0,SITE-USG-02,North America Distribution,CIF,63995.68,2025-01-20
ORD-00000076,1,2025-01-22,2025-02-01,CUST-00172,Premier Manufacturing,STY-001,Styrene Monomer,36.1,1248.83,45082.76,USD,Middle East,Spot,Automotive,CTR-00172,0,835.15,162.45,SITE-NEA-01,Middle East Distribution,DDP,44920.31,2025-01-20
ORD-00000077,1,2025-01-22,2025-01-29,CUST-00004,Global Holdings,PS-001,Polystyrene GPPS,149.0,1516.75,225995.75,USD,North America,Spot,Industrial,CTR-00004,3,1969.67,372.5,SITE-USG-01,North America Distribution,CIF,218843.38,2025-01-20
ORD-00000078,1,2025-01-22,2025-01-30,CUST-00124,Global Partners,PP-HOMO,Polypropylene Homopolymer,8.8,1606.18,14134.38,USD,North America,Contract,Construction,CTR-00124,0,42.76,22.0,SITE-USG-01,North America Distribution,DAP,14112.38,2025-01-20
ORD-00000079,1,2025-01-22,2025-01-25,CUST-00059,Pacific Industries,TOL-001,Toluene,137.4,982.33,134972.14,USD,North America,Distributor,Agricultural,,3,620.5,343.5,SITE-USG-01,North America Distribution,FOB,130579.48,2025-01-20
ORD-00000080,1,2025-01-22,2025-02-01,CUST-00149,Premier Group,LLDPE-001,LLDPE C4,101.3,1492.89,151229.76,USD,Europe,Spot,Industrial,,3,1412.89,405.2,SITE-NWE-02,Europe Distribution,FOB,146287.67,2025-01-20
ORD-00000081,1,2025-01-22,2025-02-01,CUST-00062,Pacific Chemicals,PVC-001,PVC Suspension Grade,36.7,1228.92,45101.36,USD,Middle East,Direct,Construction,CTR-00062,0,891.94,165.15,SITE-USG-01,Middle East Distribution,DAP,44936.21,2025-01-20
ORD-00000082,1,2025-01-22,2025-02-01,CUST-00098,Global Partners,TOL-001,Toluene,15.9,968.03,15391.68,USD,Latin America,Contract,Construction,,0,221.57,95.4,SITE-USG-01,Latin America Distribution,CIF,15296.28,2025-01-20
ORD-00000083,1,2025-01-22,2025-01-26,CUST-00006,Advanced Holdings,PP-HOMO,Polypropylene Homopolymer,164.0,1545.33,253434.12,USD,Latin America,Spot,Consumer,,5,4400.49,984.0,SITE-USG-01,Latin America Distribution,CIF,239778.41,2025-01-20
ORD-00000084,1,2025-01-22,2025-01-27,CUST-00190,National Manufacturing,PS-001,Polystyrene GPPS,340.9,1610.0,548849.0,USD,Europe,Spot,Consumer,CTR-00190,3,7279.25,1363.6,SITE-NWE-01,Europe Distribution,CIF,531019.93,2025-01-20
ORD-00000085,1,2025-01-22,2025-02-03,CUST-00091,Industrial Partners,LLDPE-001,LLDPE C4,13.1,1522.92,19950.25,USD,Latin America,Direct,Agricultural,CTR-00091,1,227.75,78.6,SITE-USG-02,Latin America Distribution,DAP,19672.15,2025-01-20
ORD-00000086,1,2025-01-22,2025-01-26,CUST-00168,Global Partners,LDPE-001,LDPE Injection Grade,2.6,1570.01,4082.03,USD,Asia Pacific,Distributor,Agricultural,CTR-00168,1,55.26,13.0,SITE-NEA-02,Asia Pacific Distribution,DDP,4028.21,2025-01-20
ORD-00000087,1,2025-01-22,2025-01-25,CUST-00154,Premier Chemicals,LLDPE-001,LLDPE C4,139.4,1516.77,211437.74,USD,North America,Spot,Automotive,CTR-00154,5,2878.26,348.5,SITE-USG-01,North America Distribution,DAP,200517.35,2025-01-20
ORD-00000088,1,2025-01-22,2025-01-30,CUST-00039,National Group,BEN-001,Benzene,0.7,1035.54,724.88,USD,Latin America,Direct,Consumer,CTR-00039,0,2.23,4.2,SITE-USG-02,Latin America Distribution,FOB,720.68,2025-01-20
ORD-00000089,1,2025-01-22,2025-02-01,CUST-00126,Global LLC,PP-001,Propylene Polymer Grade,4.4,1217.54,5357.18,USD,Europe,Contract,Industrial,CTR-00126,0,102.34,17.6,SITE-NWE-01,Europe Distribution,FOB,5339.58,2025-01-20
ORD-00000090,1,2025-01-22,2025-01-30,CUST-00034,National Industries,PP-HOMO,Polypropylene Homopolymer,7.4,1686.08,12476.99,USD,Asia Pacific,Direct,Consumer,CTR-00034,1,237.29,37.0,SITE-NEA-01,Asia Pacific Distribution,DDP,12315.22,2025-01-20
ORD-00000091,1,2025-01-22,2025-02-05,CUST-00126,Global LLC,BUT-001,Butadiene,13.1,1465.42,19197.0,USD,Europe,Distributor,Industrial,,0,18.69,52.4,SITE-NWE-01,Europe Distribution,DDP,19144.6,2025-01-20
ORD-00000092,1,2025-01-22,2025-01-30,CUST-00103,National LLC,MEG-001,Monoethylene Glycol,28.7,843.88,24219.36,USD,Europe,Direct,Automotive,CTR-00103,0,265.04,114.8,SITE-NWE-01,Europe Distribution,DAP,24104.56,2025-01-20
ORD-00000093,1,2025-01-22,2025-01-26,CUST-00092,Global Manufacturing,PP-HOMO,Polypropylene Homopolymer,17.9,1682.32,30113.53,USD,Latin America,Contract,Agricultural,,0,144.59,107.4,SITE-NWE-01,Latin America Distribution,DAP,30006.13,2025-01-20
ORD-00000094,1,2025-01-22,2025-01-26,CUST-00005,Atlantic Partners,XYL-001,Mixed Xylenes,374.3,1106.15,414031.95,USD,Asia Pacific,Direct,Automotive,CTR-00005,3,1349.25,1871.5,SITE-NEA-02,Asia Pacific Distribution,DAP,399739.49,2025-01-20
ORD-00000095,1,2025-01-22,2025-01-29,CUST-00199,Premier Corp,BUT-001,Butadiene,52.1,1383.39,72074.62,USD,Latin America,Distributor,Industrial,,1,707.55,312.6,SITE-USG-01,Latin America Distribution,DAP,71041.27,2025-01-20
ORD-00000096,1,2025-01-23,2025-02-06,CUST-00077,Pacific Corp,DEG-001,Diethylene Glycol,556.2,997.19,554637.08,USD,Middle East,Spot,Construction,CTR-00077,3,6694.62,2502.9,SITE-NWE-01,Middle East Distribution,DDP,535495.07,2025-01-20
ORD-00000097,1,2025-01-23,2025-02-05,CUST-00155,Pacific Group,PP-HOMO,Polypropylene Homopolymer,43.7,1702.19,74385.7,USD,Middle East,Direct,Construction,CTR-00155,1,762.68,196.65,SITE-NWE-02,Middle East Distribution,DAP,73445.19,2025-01-20
ORD-00000098,1,2025-01-23,2025-02-02,CUST-00019,Pacific Manufacturing,PP-COPOLY,Polypropylene Copolymer,34.7,1810.48,62823.66,USD,North America,Contract,Industrial,CTR-00019,1,707.47,86.75,SITE-USG-01,North America Distribution,DAP,62108.67,2025-01-20
ORD-00000099,1,2025-01-23,2025-01-27,CUST-00181,United Holdings,PP-001,Propylene Polymer Grade,41.3,1366.49,56436.04,USD,North America,Contract,Automotive,CTR-00181,0,692.89,103.25,SITE-USG-01,North America Distribution,DAP,56332.79,2025-01-20
ORD-00000100,1,2025-01-23,2025-02-05,CUST-00064,National Manufacturing,ETH-001,Ethylene,283.0,1151.47,325866.01,USD,Middle East,Contract,Consumer,,3,3345.61,1273.5,SITE-NWE-02,Middle East Distribution,DAP,314816.53,2025-01-20
