cost_id,origin_site_id,destination_region,transport_mode,cost_per_mt,transit_days,effective_date,expiration_date,carrier
22,SITE-USG-02,Asia Pacific,TRUCK,100.0,3,2024-01-01,2025-12-31,TRUCK Carrier 5
23,SITE-USG-02,Asia Pacific,RAIL,70.0,7,2024-01-01,2025-12-31,RAIL Carrier 4
24,SITE-USG-02,Asia Pacific,VESSEL,50.0,21,2024-01-01,2025-12-31,VESSEL Carrier 2
25,SITE-USG-02,Latin America,TRUCK,120.0,3,2024-01-01,2025-12-31,TRUCK Carrier 4
26,SITE-USG-02,Latin America,RAIL,84.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
27,SITE-USG-02,Latin America,VESSEL,60.0,21,2024-01-01,2025-12-31,VESSEL Carrier 5
28,SITE-USG-02,Middle East,TRUCK,90.0,3,2024-01-01,2025-12-31,TRUCK Carrier 4
29,SITE-USG-02,Middle East,RAIL,63.0,7,2024-01-01,2025-12-31,RAIL Carrier 2
30,SITE-USG-02,Middle East,VESSEL,45.0,21,2024-01-01,2025-12-31,VESSEL Carrier 3
31,SITE-NWE-01,North America,TRUCK,50.0,3,2024-01-01,2025-12-31,TRUCK Carrier 5
32,SITE-NWE-01,North America,RAIL,35.0,7,2024-01-01,2025-12-31,RAIL Carrier 5
33,SITE-NWE-01,North America,VESSEL,25.0,21,2024-01-01,2025-12-31,VESSEL Carrier 4
34,SITE-NWE-01,Europe,TRUCK,40.0,1,2024-01-01,2025-12-31,TRUCK Carrier 2
35,SITE-NWE-01,Europe,RAIL,28.0,3,2024-01-01,2025-12-31,RAIL Carrier 5
36,SITE-NWE-01,Europe,VESSEL,20.0,10,2024-01-01,2025-12-31,VESSEL Carrier 4
37,SITE-NWE-01,Asia Pacific,TRUCK,100.0,3,2024-01-01,2025-12-31,TRUCK Carrier 3
38,SITE-NWE-01,Asia Pacific,RAIL,70.0,7,2024-01-01,2025-12-31,RAIL Carrier 4
39,SITE-NWE-01,Asia Pacific,VESSEL,50.0,21,2024-01-01,2025-12-31,VESSEL Carrier 4
40,SITE-NWE-01,Latin America,TRUCK,120.0,3,2024-01-01,2025-12-31,TRUCK Carrier 2
41,SITE-NWE-01,Latin America,RAIL,84.0,7,2024-01-01,2025-12-31,RAIL Carrier 4
42,SITE-NWE-01,Latin America,VESSEL,60.0,21,2024-01-01,2025-12-31,VESSEL Carrier 5
43,SITE-NWE-01,Middle East,TRUCK,90.0,3,2024-01-01,2025-12-31,TRUCK Carrier 4
44,SITE-NWE-01,Middle East,RAIL,63.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
45,SITE-NWE-01,Middle East,VESSEL,45.0,21,2024-01-01,2025-12-31,VESSEL Carrier 2
46,SITE-NWE-02,North America,TRUCK,50.0,3,2024-01-01,2025-12-31,TRUCK Carrier 4
47,SITE-NWE-02,North America,RAIL,35.0,7,2024-01-01,2025-12-31,RAIL Carrier 5
48,SITE-NWE-02,North America,VESSEL,25.0,21,2024-01-01,2025-12-31,VESSEL Carrier 3
49,SITE-NWE-02,Europe,TRUCK,40.0,1,2024-01-01,2025-12-31,TRUCK Carrier 1
50,SITE-NWE-02,Europe,RAIL,28.0,3,2024-01-01,2025-12-31,RAIL Carrier 1
51,SITE-NWE-02,Europe,VESSEL,20.0,10,2024-01-01,2025-12-31,VESSEL Carrier 5
52,SITE-NWE-02,Asia Pacific,TRUCK,100.0,3,2024-01-01,2025-12-31,TRUCK Carrier 3
53,SITE-NWE-02,Asia Pacific,RAIL,70.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
54,SITE-NWE-02,Asia Pacific,VESSEL,50.0,21,2024-01-01,2025-12-31,VESSEL Carrier 5
55,SITE-NWE-02,Latin America,TRUCK,120.0,3,2024-01-01,2025-12-31,TRUCK Carrier 5
56,SITE-NWE-02,Latin America,RAIL,84.0,7,2024-01-01,2025-12-31,RAIL Carrier 4
57,SITE-NWE-02,Latin America,VESSEL,60.0,21,2024-01-01,2025-12-31,VESSEL Carrier 1
58,SITE-NWE-02,Middle East,TRUCK,90.0,3,2024-01-01,2025-12-31,TRUCK Carrier 2
59,SITE-NWE-02,Middle East,RAIL,63.0,7,2024-01-01,2025-12-31,RAIL Carrier 2
60,SITE-NWE-02,Middle East,VESSEL,45.0,21,2024-01-01,2025-12-31,VESSEL Carrier 1
61,SITE-NEA-01,North America,TRUCK,50.0,3,2024-01-01,2025-12-31,TRUCK Carrier 2
62,SITE-NEA-01,North America,RAIL,35.0,7,2024-01-01,2025-12-31,RAIL Carrier 2
63,SITE-NEA-01,North America,VESSEL,25.0,21,2024-01-01,2025-12-31,VESSEL Carrier 5
64,SITE-NEA-01,Europe,TRUCK,80.0,3,2024-01-01,2025-12-31,TRUCK Carrier 4
65,SITE-NEA-01,Europe,RAIL,56.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
66,SITE-NEA-01,Europe,VESSEL,40.0,21,2024-01-01,2025-12-31,VESSEL Carrier 5
67,SITE-NEA-01,Asia Pacific,TRUCK,50.0,1,2024-01-01,2025-12-31,TRUCK Carrier 4
68,SITE-NEA-01,Asia Pacific,RAIL,35.0,3,2024-01-01,2025-12-31,RAIL Carrier 1
69,SITE-NEA-01,Asia Pacific,VESSEL,25.0,10,2024-01-01,2025-12-31,VESSEL Carrier 2
70,SITE-NEA-01,Latin America,TRUCK,120.0,3,2024-01-01,2025-12-31,TRUCK Carrier 5
71,SITE-NEA-01,Latin America,RAIL,84.0,7,2024-01-01,2025-12-31,RAIL Carrier 5
72,SITE-NEA-01,Latin America,VESSEL,60.0,21,2024-01-01,2025-12-31,VESSEL Carrier 4
73,SITE-NEA-01,Middle East,TRUCK,90.0,3,2024-01-01,2025-12-31,TRUCK Carrier 3
74,SITE-NEA-01,Middle East,RAIL,63.0,7,2024-01-01,2025-12-31,RAIL Carrier 2
75,SITE-NEA-01,Middle East,VESSEL,45.0,21,2024-01-01,2025-12-31,VESSEL Carrier 1
76,SITE-NEA-02,North America,TRUCK,50.0,3,2024-01-01,2025-12-31,TRUCK Carrier 1
77,SITE-NEA-02,North America,RAIL,35.0,7,2024-01-01,2025-12-31,RAIL Carrier 2
78,SITE-NEA-02,North America,VESSEL,25.0,21,2024-01-01,2025-12-31,VESSEL Carrier 4
79,SITE-NEA-02,Europe,TRUCK,80.0,3,2024-01-01,2025-12-31,TRUCK Carrier 2
80,SITE-NEA-02,Europe,RAIL,56.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
81,SITE-NEA-02,Europe,VESSEL,40.0,21,2024-01-01,2025-12-31,VESSEL Carrier 2
82,SITE-NEA-02,Asia Pacific,TRUCK,50.0,1,2024-01-01,2025-12-31,TRUCK Carrier 3
83,SITE-NEA-02,Asia Pacific,RAIL,35.0,3,2024-01-01,2025-12-31,RAIL Carrier 4
84,SITE-NEA-02,Asia Pacific,VESSEL,25.0,10,2024-01-01,2025-12-31,VESSEL Carrier 1
85,SITE-NEA-02,Latin America,TRUCK,120.0,3,2024-01-01,2025-12-31,TRUCK Carrier 1
86,SITE-NEA-02,Latin America,RAIL,84.0,7,2024-01-01,2025-12-31,RAIL Carrier 3
87,SITE-NEA-02,Latin America,VESSEL,60.0,21,2024-01-01,2025-12-31,VESSEL Carrier 3
88,SITE-NEA-02,Middle East,TRUCK,90.0,3,2024-01-01,2025-12-31,TRUCK Carrier 1
89,SITE-NEA-02,Middle East,RAIL,63.0,7,2024-01-01,2025-12-31,RAIL Carrier 2
90,SITE-NEA-02,Middle East,VESSEL,45.0,21,2024-01-01,2025-12-31,VESSEL Carrier 4
